iter	Passed	Remaining
0	176	70516
1	181	36158
2	186	24681
3	191	18962
4	197	15609
5	202	13321
6	208	11680
7	214	10509
8	219	9539
9	224	8770
10	230	8142
11	235	7604
12	241	7178
13	246	6805
14	252	6471
15	257	6190
16	263	5939
17	268	5708
18	274	5501
19	279	5317
20	286	5162
21	291	5004
22	296	4856
23	301	4726
24	306	4602
25	312	4492
26	317	4388
27	322	4289
28	328	4199
29	334	4121
30	339	4041
31	344	3963
32	350	3896
33	355	3828
34	361	3765
35	367	3711
36	372	3654
37	378	3606
38	383	3550
39	388	3498
40	424	3712
41	429	3658
42	434	3605
43	439	3557
44	445	3511
45	450	3468
46	456	3427
47	461	3387
48	467	3349
49	474	3321
50	480	3285
51	485	3252
52	491	3217
53	497	3184
54	503	3155
55	508	3122
56	513	3092
57	519	3061
58	524	3031
59	529	3003
60	535	2976
61	540	2949
62	546	2924
63	552	2901
64	558	2876
65	563	2852
66	568	2827
67	574	2803
68	579	2780
69	584	2756
70	589	2733
71	595	2711
72	600	2689
73	605	2667
74	611	2649
75	616	2627
76	622	2609
77	627	2588
78	632	2568
79	671	2686
80	677	2666
81	682	2647
82	687	2626
83	693	2607
84	699	2594
85	705	2575
86	710	2557
87	717	2543
88	722	2525
89	729	2511
90	735	2496
91	742	2484
92	750	2476
93	756	2462
94	761	2446
95	768	2433
96	775	2421
97	780	2405
98	786	2391
99	792	2377
100	799	2365
101	804	2351
102	810	2336
103	816	2323
104	822	2311
105	828	2298
106	834	2284
107	840	2271
108	846	2260
109	853	2249
110	859	2237
111	866	2227
112	871	2214
113	878	2202
114	883	2190
115	889	2177
116	894	2164
117	928	2218
118	933	2204
119	939	2191
120	944	2178
121	951	2167
122	956	2153
123	962	2142
124	967	2129
125	973	2116
126	978	2103
127	984	2091
128	989	2079
129	996	2069
130	1001	2056
131	1007	2045
132	1013	2034
133	1018	2021
134	1023	2009
135	1029	1998
136	1034	1986
137	1040	1975
138	1045	1963
139	1051	1952
140	1056	1941
141	1062	1930
142	1068	1920
143	1073	1909
144	1079	1898
145	1085	1888
146	1090	1876
147	1095	1865
148	1101	1855
149	1106	1844
150	1112	1834
151	1117	1823
152	1123	1813
153	1129	1803
154	1134	1792
155	1139	1782
156	1179	1825
157	1184	1814
158	1189	1803
159	1195	1792
160	1200	1782
161	1206	1772
162	1211	1762
163	1217	1751
164	1223	1741
165	1228	1731
166	1233	1721
167	1239	1711
168	1244	1701
169	1250	1691
170	1255	1681
171	1261	1672
172	1267	1662
173	1272	1652
174	1277	1642
175	1282	1632
176	1287	1622
177	1293	1613
178	1299	1604
179	1304	1594
180	1309	1584
181	1315	1575
182	1320	1565
183	1326	1557
184	1332	1548
185	1337	1539
186	1344	1530
187	1349	1522
188	1355	1512
189	1360	1503
190	1365	1494
191	1371	1486
192	1377	1476
193	1382	1468
194	1414	1487
195	1420	1478
196	1425	1469
197	1431	1460
198	1435	1450
199	1440	1440
200	1444	1430
201	1449	1421
202	1455	1412
203	1460	1402
204	1465	1394
205	1470	1384
206	1476	1376
207	1481	1367
208	1487	1359
209	1493	1350
210	1498	1342
211	1504	1334
212	1510	1325
213	1515	1317
214	1521	1308
215	1526	1300
216	1531	1291
217	1537	1283
218	1542	1274
219	1547	1266
220	1553	1258
221	1558	1249
222	1564	1241
223	1569	1233
224	1575	1225
225	1580	1216
226	1585	1208
227	1591	1200
228	1596	1192
229	1601	1184
230	1607	1175
231	1646	1191
232	1651	1183
233	1656	1175
234	1662	1167
235	1667	1158
236	1672	1150
237	1678	1142
238	1683	1134
239	1689	1126
240	1696	1119
241	1701	1111
242	1707	1103
243	1712	1095
244	1718	1086
245	1723	1079
246	1729	1071
247	1734	1063
248	1739	1054
249	1744	1046
250	1750	1039
251	1755	1031
252	1760	1022
253	1766	1015
254	1775	1009
255	1782	1002
256	1788	995
257	1794	987
258	1800	980
259	1806	972
260	1812	965
261	1817	957
262	1823	949
263	1829	942
264	1835	935
265	1841	927
266	1847	920
267	1852	912
268	1885	918
269	1891	910
270	1896	902
271	1902	895
272	1907	887
273	1913	879
274	1918	872
275	1923	864
276	1929	856
277	1935	849
278	1940	841
279	1946	834
280	1952	826
281	1957	819
282	1963	811
283	1968	804
284	1974	796
285	1979	789
286	1985	781
287	1991	774
288	1996	766
289	2002	759
290	2007	752
291	2013	744
292	2018	737
293	2023	729
294	2029	722
295	2035	715
296	2040	707
297	2046	700
298	2052	693
299	2057	685
300	2063	678
301	2068	671
302	2074	664
303	2080	657
304	2085	649
305	2091	642
306	2097	635
307	2132	637
308	2139	630
309	2145	622
310	2151	615
311	2156	608
312	2161	600
313	2167	593
314	2173	586
315	2179	579
316	2185	572
317	2190	564
318	2197	557
319	2202	550
320	2208	543
321	2213	536
322	2219	529
323	2224	521
324	2230	514
325	2236	507
326	2242	500
327	2247	493
328	2252	486
329	2258	479
330	2263	471
331	2267	464
332	2272	457
333	2278	450
334	2283	442
335	2288	435
336	2294	428
337	2299	421
338	2305	414
339	2310	407
340	2315	400
341	2356	399
342	2361	392
343	2369	385
344	2374	378
345	2380	371
346	2386	364
347	2392	357
348	2398	350
349	2404	343
350	2409	336
351	2415	329
352	2420	322
353	2426	315
354	2431	308
355	2437	301
356	2443	294
357	2448	287
358	2454	280
359	2459	273
360	2465	266
361	2471	259
362	2477	252
363	2482	245
364	2488	238
365	2493	231
366	2499	224
367	2505	217
368	2510	210
369	2515	203
370	2521	197
371	2526	190
372	2532	183
373	2537	176
374	2542	169
375	2547	162
376	2553	155
377	2558	148
378	2591	143
379	2597	136
380	2602	129
381	2608	122
382	2613	116
383	2620	109
384	2627	102
385	2632	95
386	2638	88
387	2644	81
388	2650	74
389	2656	68
390	2661	61
391	2666	54
392	2672	47
393	2678	40
394	2683	33
395	2689	27
396	2694	20
397	2699	13
398	2704	6
399	2709	0
